Kecamatan; Price ;Kamar Tidur;Kamar Mandi;Luas Tanah;Luas Bangunan;Sertifikat;Daya Listrik;Ruang Makan;Ruang Tamu;Kondisi Perabotan;Jumlah Lantai;Hadap;Terjangkau Internet;Lebar Jalan;Sumber Air;Hook;Kondisi Properti
gayungan; 990.000.000 ;3;2;126;150;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
wiyung; 990.000.000 ;2;1;135;100;SHM - Sertifikat Hak Milik;4400;;;Unfurnished;1;;;;;;Bagus Sekali
sambikerep; 990.000.000 ;3;2;136;200;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;2;Barat;Tidak;;;Tidak;Bagus
rungkut; 990.000.000 ;3;1;150;120;SHM - Sertifikat Hak Milik;900;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Ya;Butuh Renovasi
kenjeran; 990.000.000 ;2;2;210;180;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;1;Utara;Ya;4 Mobil;PAM atau PDAM;Tidak;Bagus
wiyung; 990.000.000 ;4;3;295;252;SHM - Sertifikat Hak Milik;3500;Ya;Ya;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Bagus
wiyung; 990.000.000 ;4;3;300;300;SHM - Sertifikat Hak Milik;3500;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;;Tidak;Bagus
kenjeran; 995.000.000 ;2;1;72;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 995.000.000 ;2;2;72;94;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Baru
wiyung; 995.000.000 ;3;2;128;158;SHM - Sertifikat Hak Milik;3500;;;Unfurnished;2;Selatan;;;;;Bagus
wiyung; 995.000.000 ;5;3;180;300;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;2;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
pakal; 996.000.000 ;3;2;50;68;HGB - Hak Guna Bangunan;2200;;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
kenjeran; 998.000.000 ;2;2;48;54;HGB - Hak Guna Bangunan;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru
kenjeran; 998.000.000 ;2;1;48;54;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;2;;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
sukolilo; 998.000.000 ;2;1;48;54;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 999.000.000 ;3;2;50;82;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 999.000.000 ;3;2;50;82;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Ya;Baru
rungkut; 999.000.000 ;3;2;50;82;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Ya;Baru
rungkut; 999.000.000 ;3;2;50;82;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Ya;Baru
rungkut; 999.000.000 ;3;2;50;80;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Barat;Ya;2 Mobil;PAM atau PDAM;Ya;Baru
rungkut; 999.000.000 ;3;2;50;82;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 999.000.000 ;3;2;50;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 999.000.000 ;3;2;50;82;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Baru
rungkut; 999.000.000 ;3;2;50;82;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;;Ya;3 Mobil;;Tidak;Baru
rungkut; 999.000.000 ;3;2;50;82;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Baru
rungkut; 999.000.000 ;3;2;50;82;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 999.000.000 ;2;2;50;82;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Baru
rungkut; 999.000.000 ;3;2;50;82;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru
rungkut; 999.000.000 ;3;2;50;82;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Utara;Tidak;;PAM atau PDAM;Tidak;Baru
rungkut; 999.000.000 ;3;2;50;82;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
sukolilo; 999.000.000 ;3;2;50;63;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
sukolilo; 999.000.000 ;3;2;50;63;HGB - Hak Guna Bangunan;2200;;Tidak;Unfurnished;2;Utara;Tidak;2 Mobil;PAM atau PDAM;Tidak;Baru
gayungan; 999.000.000 ;3;2;59;118;SHM - Sertifikat Hak Milik;;Ya;Ya;Unfurnished;2;;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
kenjeran; 999.000.000 ;2;1;84;84;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
sukolilo; 999.000.000 ;2;1;90;90;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;2 Mobil;PAM atau PDAM;Tidak;Bagus
semampir; 999.000.000 ;4;2;110;110;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
pakal; 999.000.000 ;3;2;120;100;HGB - Hak Guna Bangunan;2200;;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
wiyung; 999.000.000 ;3;1;120;70;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus Sekali
rungkut; 999.000.000 ;3;2;135;100;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Butuh Renovasi
wiyung; 999.000.000 ;4;4;328;450;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Tidak;2 Mobil;PAM atau PDAM;Tidak;Baru
tambaksari; 1.010.000.000 ;3;2;65;61;HGB - Hak Guna Bangunan;2200;;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
wiyung; 1.010.000.000 ;2;1;117;90;SHM - Sertifikat Hak Milik;5500;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 1.020.000.000 ;2;2;91;63;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
tambaksari; 1.020.000.000 ;2;1;114;114;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
rungkut; 1.030.000.000 ;3;1;96;90;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Butuh Renovasi
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Selatan;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.030.000.000 ;3;1;96;90;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
rungkut; 1.030.000.000 ;3;1;96;90;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;1;Selatan;Ya;;PAM atau PDAM;Tidak;Bagus
rungkut; 1.030.000.000 ;3;1;96;90;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.030.000.000 ;2;1;96;90;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;1;Timur Laut;Ya;2 Mobil;PAM atau PDAM;Tidak;Butuh Renovasi
rungkut; 1.030.000.000 ;2;1;98;90;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Sudah Renovasi
gayungan; 1.030.000.000 ;4;3;112;112;SHM - Sertifikat Hak Milik;1300;;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
gayungan; 1.030.000.000 ;4;3;112;112;SHM - Sertifikat Hak Milik;1300;;Ya;Unfurnished;2;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
gayungan; 1.030.000.000 ;3;1;112;112;SHM - Sertifikat Hak Milik;1300;;Ya;Unfurnished;2;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.050.000.000 ;2;2;45;62;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Barat;Tidak;;;Tidak;Bagus
rungkut; 1.050.000.000 ;3;3;45;77;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
sukolilo; 1.050.000.000 ;3;2;50;63;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Baru
sukolilo; 1.050.000.000 ;3;2;50;63;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Baru
sukolilo; 1.050.000.000 ;3;2;50;63;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Baru
sukolilo; 1.050.000.000 ;3;2;50;63;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Baru
sukolilo; 1.050.000.000 ;3;2;50;60;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
sukolilo; 1.050.000.000 ;3;2;50;63;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Baru
sukolilo; 1.050.000.000 ;3;2;50;63;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru
sukolilo; 1.050.000.000 ;3;2;50;63;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 1.050.000.000 ;3;1;60;80;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
simokerto; 1.050.000.000 ;3;2;66;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.050.000.000 ;3;2;67;70;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Utara;Tidak;2 Mobil;PAM atau PDAM;Tidak;
rungkut; 1.050.000.000 ;3;2;67;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
jambangan; 1.050.000.000 ;3;2;77;90;SHM - Sertifikat Hak Milik;1300;;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.050.000.000 ;4;3;81;120;Lainnya (PPJB,Girik,Adat,dll);2200;Tidak;Tidak;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 1.050.000.000 ;4;3;81;120;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 1.050.000.000 ;4;3;81;120;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Utara;Tidak;;PAM atau PDAM;Tidak;Baru
rungkut; 1.050.000.000 ;4;3;81;120;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.050.000.000 ;4;3;81;120;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
semampir; 1.050.000.000 ;4;3;81;120;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
sukolilo; 1.050.000.000 ;3;1;90;60;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;2;;Ya;3 Mobil;PAM atau PDAM;Tidak;Sudah Renovasi
mulyorejo; 1.050.000.000 ;2;1;96;50;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Butuh Renovasi
semampir; 1.050.000.000 ;3;2;100;72;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 1.050.000.000 ;2;1;105;90;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
rungkut; 1.050.000.000 ;3;2;112;110;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.050.000.000 ;3;2;112;112;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus
tambaksari; 1.050.000.000 ;3;1;116;100;HGB - Hak Guna Bangunan;2200;;Ya;Unfurnished;1;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
tambaksari; 1.050.000.000 ;4;2;120;120;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
kenjeran; 1.050.000.000 ;2;1;126;100;HGB - Hak Guna Bangunan;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Butuh Renovasi
sukolilo; 1.050.000.000 ;3;2;144;142;SHM - Sertifikat Hak Milik;1300;;Tidak;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Ya;Sudah Renovasi
kenjeran; 1.050.000.000 ;4;2;168;140;SHM - Sertifikat Hak Milik;900;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
tenggilis mejoyo; 1.060.000.000 ;3;2;52;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Ya;Baru
dukuh pakis; 1.060.000.000 ;2;2;58;68;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Barat Daya;Tidak;;PAM atau PDAM;Tidak;Baru
kenjeran; 1.060.000.000 ;3;2;72;115;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
kenjeran; 1.070.000.000 ;2;1;50;51;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru
benowo; 1.070.000.000 ;2;2;60;78;HGB - Hak Guna Bangunan;3500;Tidak;Tidak;Unfurnished;2;Selatan;Tidak;;PAM atau PDAM;Tidak;Sudah Renovasi
pakal; 1.070.000.000 ;2;2;60;78;Lainnya (PPJB,Girik,Adat,dll);;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
pakal; 1.070.000.000 ;2;2;60;78;HGB - Hak Guna Bangunan;3500;Ya;Ya;Unfurnished;2;Selatan;Tidak;2 Mobil;PAM atau PDAM;Tidak;Sudah Renovasi
sambikerep; 1.070.000.000 ;2;2;60;78;HGB - Hak Guna Bangunan;3500;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;;PAM atau PDAM;Tidak;Bagus
pakal; 1.080.000.000 ;3;2;50;63;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;2;Utara;Ya;;PAM atau PDAM;Tidak;Baru
sukolilo; 1.080.000.000 ;3;2;50;63;HGB - Hak Guna Bangunan;;Tidak;Tidak;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Baru
wiyung; 1.080.000.000 ;2;2;60;50;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;;;Tidak;;PAM atau PDAM;Tidak;Baru
sukomanunggal; 1.080.000.000 ;2;2;108;200;SHM - Sertifikat Hak Milik;;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;;Tidak;Butuh Renovasi
pakal; 1.090.000.000 ;2;2;72;71;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;2;Barat;Tidak;;;Tidak;Bagus
tambaksari; 1.090.000.000 ;4;3;90;120;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;2;Barat;;;;;Bagus
rungkut; 1.090.000.000 ;3;2;120;120;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Selatan;Ya;1 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.110.000.000 ;3;2;50;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;;Ya;Baru
rungkut; 1.110.000.000 ;3;2;50;70;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;Utara;Tidak;3 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 1.110.000.000 ;3;2;50;70;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;2;;Tidak;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.110.000.000 ;3;2;50;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 1.110.000.000 ;3;2;50;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 1.110.000.000 ;3;2;50;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 1.110.000.000 ;3;2;50;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 1.110.000.000 ;2;2;50;70;SHM - Sertifikat Hak Milik;2200;Tidak;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Ya;Baru
wiyung; 1.120.000.000 ;3;3;108;170;HGB - Hak Guna Bangunan;2200;;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Ya;Baru
wiyung; 1.140.000.000 ;4;4;337;375;HGB - Hak Guna Bangunan;6600;;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
wiyung; 1.150.000.000 ;2;1;50;60;HGB - Hak Guna Bangunan;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus
sambikerep; 1.150.000.000 ;2;2;58;68;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
gayungan; 1.150.000.000 ;2;2;60;95;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;2;;;;;;Bagus
kenjeran; 1.150.000.000 ;3;2;61;90;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
wiyung; 1.150.000.000 ;3;2;66;80;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Bagus
wiyung; 1.150.000.000 ;3;2;66;80;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;;PAM atau PDAM;Tidak;Baru
wiyung; 1.150.000.000 ;3;2;72;91;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;2;Selatan;Tidak;4 Mobil;PAM atau PDAM;Tidak;Bagus
wiyung; 1.150.000.000 ;3;2;72;80;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
wiyung; 1.150.000.000 ;3;2;72;90;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
wiyung; 1.150.000.000 ;3;2;80;66;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;1;Barat;Tidak;;PAM atau PDAM;Tidak;Baru
lakarsantri; 1.150.000.000 ;3;3;90;90;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 1.150.000.000 ;2;1;90;90;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;3 Mobil;;Tidak;Baru
tambaksari; 1.150.000.000 ;3;3;90;120;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
wiyung; 1.150.000.000 ;3;3;90;98;Lainnya (PPJB,Girik,Adat,dll);2200;;Ya;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
kenjeran; 1.150.000.000 ;3;2;100;72;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 1.150.000.000 ;3;3;100;110;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 1.150.000.000 ;4;3;100;150;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;2;;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
pakal; 1.150.000.000 ;3;1;105;95;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
wiyung; 1.150.000.000 ;2;2;108;150;HGB - Hak Guna Bangunan;3500;Ya;Ya;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
mulyorejo; 1.150.000.000 ;4;2;110;150;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
mulyorejo; 1.150.000.000 ;4;2;110;110;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
mulyorejo; 1.150.000.000 ;4;2;110;110;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
mulyorejo; 1.150.000.000 ;2;2;120;100;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus
wiyung; 1.150.000.000 ;3;1;120;100;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;Barat;Tidak;;PAM atau PDAM;Tidak;Sudah Renovasi
wiyung; 1.150.000.000 ;3;2;120;150;HGB - Hak Guna Bangunan;2200;;Ya;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Bagus
wiyung; 1.150.000.000 ;3;1;120;100;SHM - Sertifikat Hak Milik;;Ya;Ya;Unfurnished;1;;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
kenjeran; 1.150.000.000 ;3;4;125;170;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;2;Selatan;Tidak;;PAM atau PDAM;Tidak;Bagus
wiyung; 1.150.000.000 ;3;2;132;176;HGB - Hak Guna Bangunan;;;;Unfurnished;2;;;;;;Baru
rungkut; 1.150.000.000 ;3;2;144;144;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 1.150.000.000 ;3;2;144;144;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
