Kecamatan; Price ;Kamar Tidur;Kamar Mandi;Luas Tanah;Luas Bangunan;Sertifikat;Daya Listrik;Ruang Makan;Ruang Tamu;Kondisi Perabotan;Jumlah Lantai;Hadap;Terjangkau Internet;Lebar Jalan;Sumber Air;Hook;Kondisi Properti
tambaksari; 625.000.000 ;2;1;63;50;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
sukolilo; 625.000.000 ;3;2;91;50;SHM - Sertifikat Hak Milik;3300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
benowo; 625.000.000 ;2;1;105;70;SHM - Sertifikat Hak Milik;1300;;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
wiyung; 625.000.000 ;4;3;126;180;SHM - Sertifikat Hak Milik;4400;Tidak;Tidak;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru
tambaksari; 630.000.000 ;2;1;54;53;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Barat;Tidak;;PAM atau PDAM;Tidak;Bagus
asemrowo; 635.000.000 ;2;2;48;60;SHM - Sertifikat Hak Milik;;;;Unfurnished;2;Timur;;;;;Baru
lakarsantri; 640.000.000 ;2;1;90;70;HGB - Hak Guna Bangunan;1300;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;;PAM atau PDAM;Tidak;Bagus
rungkut; 645.000.000 ;3;2;49;65;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Ya;Baru
rungkut; 650.000.000 ;3;2;50;65;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
rungkut; 650.000.000 ;3;2;50;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru
gubeng; 650.000.000 ;3;2;58;58;Lainnya (PPJB,Girik,Adat,dll);1300;Tidak;Tidak;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 650.000.000 ;2;1;59;59;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;Utara;Tidak;;Sumur Bor;Tidak;Bagus
mulyorejo; 650.000.000 ;2;1;60;150;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus
rungkut; 650.000.000 ;2;1;60;60;HGB - Hak Guna Bangunan;1300;Ya;Ya;Unfurnished;1;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus
tambaksari; 650.000.000 ;2;1;60;150;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus
sambikerep; 650.000.000 ;3;2;69;69;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
mulyorejo; 650.000.000 ;2;2;70;70;Lainnya (PPJB,Girik,Adat,dll);900;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Ya;Bagus
rungkut; 650.000.000 ;2;1;72;54;HGB - Hak Guna Bangunan;;Ya;Ya;Unfurnished;1;;Ya;;PAM atau PDAM;Tidak;Butuh Renovasi
tandes; 650.000.000 ;3;2;72;100;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus
lakarsantri; 650.000.000 ;2;1;84;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
rungkut; 650.000.000 ;2;1;90;50;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus
